user_id,test_id,category,difficulty,score
1,Wipro_Test,Company,Medium,34.0
1,Coding_Hard,Coding,Hard,82.0
1,Logical_Basic,Logical,Easy,38.0
1,Aptitude_Medium,Aptitude,Medium,36.0
1,Logical_Medium,Logical,Medium,45.0
1,Coding_Easy,Coding,Easy,55.0
2,Aptitude_Advanced,Aptitude,Hard,46.0
2,Coding_Medium,Coding,Medium,89.0
2,Infosys_Test,Company,Medium,44.0
2,Aptitude_Basic,Aptitude,Easy,63.0
2,Logical_Hard,Logical,Hard,66.0
2,Aptitude_Medium,Aptitude,Medium,35.0
3,Aptitude_Advanced,Aptitude,Hard,66.0
3,Infosys_Test,Company,Medium,65.0
3,Logical_Medium,Logical,Medium,92.0
3,Aptitude_Medium,Aptitude,Medium,64.0
3,Coding_Medium,Coding,Medium,83.0
3,Aptitude_Basic,Aptitude,Easy,90.0
4,Coding_Easy,Coding,Easy,59.0
4,Logical_Basic,Logical,Easy,76.0
4,Aptitude_Advanced,Aptitude,Hard,71.0
4,Infosys_Test,Company,Medium,87.0
4,Coding_Medium,Coding,Medium,90.0
4,Logical_Hard,Logical,Hard,63.0
5,Aptitude_Advanced,Aptitude,Hard,79.0
5,Logical_Medium,Logical,Medium,72.0
5,Logical_Hard,Logical,Hard,87.0
5,Coding_Easy,Coding,Easy,37.0
5,Aptitude_Medium,Aptitude,Medium,31.0
5,TCS_NQT_Mock,Company,Medium,67.0
6,Infosys_Test,Company,Medium,35.0
6,TCS_NQT_Mock,Company,Medium,39.0
6,Coding_Hard,Coding,Hard,71.0
6,Coding_Easy,Coding,Easy,78.0
6,Aptitude_Medium,Aptitude,Medium,88.0
6,Aptitude_Advanced,Aptitude,Hard,51.0
7,Aptitude_Basic,Aptitude,Easy,62.0
7,Coding_Medium,Coding,Medium,58.0
7,Wipro_Test,Company,Medium,41.0
7,TCS_NQT_Mock,Company,Medium,38.0
7,Aptitude_Advanced,Aptitude,Hard,37.0
7,Logical_Medium,Logical,Medium,47.0
8,Logical_Medium,Logical,Medium,37.0
8,Aptitude_Basic,Aptitude,Easy,65.0
8,TCS_NQT_Mock,Company,Medium,90.0
8,Logical_Hard,Logical,Hard,70.0
8,Aptitude_Advanced,Aptitude,Hard,59.0
8,Logical_Basic,Logical,Easy,81.0
9,Coding_Medium,Coding,Medium,57.0
9,Coding_Hard,Coding,Hard,58.0
9,Infosys_Test,Company,Medium,36.0
9,Aptitude_Medium,Aptitude,Medium,57.0
9,TCS_NQT_Mock,Company,Medium,39.0
9,Aptitude_Advanced,Aptitude,Hard,51.0
10,Logical_Medium,Logical,Medium,93.0
10,Coding_Easy,Coding,Easy,34.0
10,Logical_Basic,Logical,Easy,91.0
10,Coding_Medium,Coding,Medium,36.0
10,Infosys_Test,Company,Medium,87.0
10,Aptitude_Basic,Aptitude,Easy,69.0
11,Coding_Medium,Coding,Medium,31.0
11,Coding_Easy,Coding,Easy,91.0
11,Logical_Medium,Logical,Medium,52.0
11,TCS_NQT_Mock,Company,Medium,45.0
11,Coding_Hard,Coding,Hard,95.0
11,Logical_Basic,Logical,Easy,46.0
12,Aptitude_Medium,Aptitude,Medium,44.0
12,Logical_Basic,Logical,Easy,63.0
12,Wipro_Test,Company,Medium,45.0
12,Coding_Medium,Coding,Medium,30.0
12,Coding_Easy,Coding,Easy,67.0
12,Aptitude_Advanced,Aptitude,Hard,91.0
13,Aptitude_Advanced,Aptitude,Hard,90.0
13,Coding_Hard,Coding,Hard,87.0
13,Logical_Medium,Logical,Medium,74.0
13,Infosys_Test,Company,Medium,34.0
13,Aptitude_Basic,Aptitude,Easy,41.0
13,Aptitude_Medium,Aptitude,Medium,37.0
14,TCS_NQT_Mock,Company,Medium,42.0
14,Coding_Medium,Coding,Medium,76.0
14,Wipro_Test,Company,Medium,61.0
14,Logical_Medium,Logical,Medium,56.0
14,Aptitude_Medium,Aptitude,Medium,55.0
14,Logical_Basic,Logical,Easy,33.0
15,Logical_Medium,Logical,Medium,42.0
